run_name,seeds,seed_values,model_params,activated_params,kv_elements_per_token,estimated_train_tokens,estimated_training_flops,val_lm_loss_mean,val_lm_loss_std,ppl_mean,ppl_std,tokens_per_second_mean,tokens_per_second_std,peak_vram_gb_mean,peak_vram_gb_std,gpu_hours_mean,gpu_hours_std,cost_mean,cost_std,expert_load_cv_mean,expert_load_cv_std
arch_dense_gqa,3,"42,43,44",2263488,2263488,192,2048000,27813740544000.0,0.6961412767092386,0.0006441702390711955,2.005997582055556,0.0012921663527131534,70200.73,791.1852842834388,0.1588,0.0,0.015883333333333333,0.00014637926386236886,0.03463333333333333,0.0003091206165165226,0.0,0.0
arch_dense_mha,3,"42,43,44",2410944,2410944,384,2048000,29625679872000.0,0.7014840404192606,0.0025888634471154565,2.0167501732558093,0.0052192609005075035,73677.67333333334,1104.6615160712804,0.1608,0.0,0.015,2.3762715894162633e-05,0.03266666666666667,4.714045207910452e-05,0.0,0.0
arch_moe_aux,3,"42,43,44",4481472,1827264,192,2048000,22453420032000.0,0.6978643442153931,0.005450885090056834,2.009486497274038,0.010970221572611887,30458.63333333333,514.1665909886497,0.19400000000000003,0.0,0.03621,0.0014383965609895857,0.07896666666666667,0.003137231617560653,0.07514380925347948,0.003231933942937372
arch_moe_aux_none,3,"42,43,44",4481472,1827264,192,2048000,22453420032000.0,0.7030010352134705,0.0038947393418795767,2.019820440897064,0.007862170914960694,31449.95,489.01954344041013,0.19400000000000003,0.0,0.035180333333333334,0.00033215893116933536,0.0767,0.0006976149845485418,0.3417042790290105,0.05361937354728316
arch_moe_aux_strong,3,"42,43,44",4481472,1827264,192,2048000,22453420032000.0,0.7012926712354024,0.004792896217637801,2.0163806812520026,0.009670872334534444,30641.446666666667,2074.1320112974704,0.19400000000000003,0.0,0.036088666666666665,0.0015884334700858225,0.07869999999999999,0.0034563950391508615,0.055679288059138084,0.0006104087182240066
arch_moe_aux_weak,3,"42,43,44",4481472,1827264,192,2048000,22453420032000.0,0.6994483046849568,0.0036513992411895072,2.012655463996918,0.007358056260127362,30183.503333333338,1171.9612859457236,0.19400000000000003,0.0,0.0365,0.00047078728388377946,0.0796,0.0010230672835481879,0.1662175095755685,0.023039767145372543
arch_moe_bias,3,"42,43,44",4481472,1827264,192,2048000,22453420032000.0,0.7052286775906881,0.004912539583210663,2.0243339854991906,0.009952402553621868,30997.426666666666,2384.654418769217,0.1938,0.0,0.03512166666666667,0.002478630849660531,0.07653333333333333,0.00540945674002688,0.08118708296378709,0.010458364449210108
arch_moe_coarse,3,"42,43,44",4034496,2265024,192,2048000,27832614912000.0,0.7277714925765991,0.008421706716698774,2.07053482175877,0.017427666828941514,50975.44,1373.6312767503002,0.1884,0.000588784057755194,0.023859333333333333,0.0003596390165460675,0.052,0.000778888096369864,0.027913411458333332,0.005936093526308492
arch_moe_fine_grained,3,"42,43,44",4039104,2269632,192,2048000,27889238016000.0,0.7328281500180562,0.004700249157104973,2.080980516900437,0.009766246259015891,32506.24,2586.0209004182457,0.21220000000000003,0.0,0.034474333333333336,0.0026739399561113743,0.07513333333333333,0.005840281576164708,0.05654043914347045,0.010674628313026742
arch_moe_shared,3,"42,43,44",4038336,2268864,192,2048000,27879800832000.0,0.7123118104616801,0.0038906237030408514,2.0387143371714194,0.007937158142630945,33245.73666666667,1962.450248445097,0.209,0.0,0.03369966666666666,0.001970704498960265,0.07346666666666667,0.004271091455614388,0.05596839176206805,0.01358443730645414
arch_v2_attention_control,3,"42,43,44",4481472,1827264,192,2048000,22453420032000.0,0.6978643442153931,0.005450885090056834,2.009486497274038,0.010970221572611887,29772.64333333333,21.310101412762197,0.19400000000000003,0.0,0.03629466666666667,0.0009739631523944925,0.0791,0.0021213203435596446,0.07514380925347948,0.003231933942937372
arch_v2_low_rank_control,3,"42,43,44",4481472,1827264,192,2048000,22453420032000.0,0.6978643442153931,0.005450885090056834,2.009486497274038,0.010970221572611887,29639.246666666662,1466.4339164638675,0.19400000000000003,0.0,0.03638566666666667,0.0009700093928525761,0.07933333333333333,0.002124983660067901,0.07514380925347948,0.003231933942937372
arch_v2_low_rank_kv,3,"42,43,44",4432320,1778112,192,2048000,21849440256000.0,0.7839064687728882,0.00046387818700909975,2.1900110212763986,0.001015865377564056,30132.39,2165.9812518271406,0.1914,0.0,0.035840666666666667,0.0012942901100174151,0.07813333333333333,0.002801586851926759,0.06686056904779268,0.005375035880174574
arch_v2_mla,3,"42,43,44",4434368,1780160,72,2048000,21874606080000.0,0.785601693725586,0.005448511385256114,2.193759098301086,0.011975327863862064,29720.74666666667,632.2621519767118,0.19699999999999998,0.0,0.036435,0.00047686965374897346,0.07943333333333334,0.0010338708279513879,0.06045261812005628,0.011233041744350513
arch_v3_mtp,3,"42,43,44",5050048,2395840,72,2048000,29440081920000.0,0.7864732805569967,0.015586436114818353,2.195906900561043,0.03438602562276109,27044.103333333333,417.0746393899083,0.2456,0.0,0.04026933333333333,0.0006048880520853041,0.08776666666666666,0.0013474255287605147,0.06254655428633096,0.008028172948590349
arch_v3_no_mtp,3,"42,43,44",4434368,1780160,72,2048000,21874606080000.0,0.7915975975036621,0.00756221296136147,2.20698241129662,0.01666049036118539,30972.13,1364.1430686209799,0.1968,0.0,0.03539899999999999,0.0013785760769721774,0.07716666666666666,0.0029780679792256065,0.07893468316669691,0.0059409440526986095
